0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,0.000000000000000000e+00,4.000000059604644775e-01
1.000000000000000000e+00,8.829680542653353670e-02,4.518887229478216194e-01,7.499524205923080444e-02,4.554724771125159277e-01
2.000000000000000000e+00,7.624669655130923707e-02,6.242438464547657162e-01,4.923461005091667175e-02,5.941585745255101303e-01
3.000000000000000000e+00,7.308484102017646922e-02,7.364305813082977492e-01,1.075246334075927734e-01,8.005167974259227437e-01
4.000000000000000000e+00,6.465701754570379878e-02,8.692328165863477674e-01,9.676483273506164551e-02,9.071085586115114063e-01
5.000000000000000000e+00,9.027727282363159911e-02,1.016209973163810121e+00,9.516339749097824097e-02,9.985996166800448215e-01
6.000000000000000000e+00,1.817981681300471219e-01,1.263278041321344469e+00,6.503834575414657593e-02,1.147960946373222768e+00
7.000000000000000000e+00,8.054299671745920874e-02,1.353529123013295310e+00,9.243911504745483398e-02,1.356621001148466510e+00
8.000000000000000000e+00,6.111242043597043400e-02,1.581700151762753137e+00,1.099254116415977478e-01,1.609655850017899459e+00
9.000000000000000000e+00,1.408952307824155314e-01,1.899938525585191051e+00,1.348375082015991211e-01,1.906975317389395297e+00
1.000000000000000000e+01,8.037103421772937017e-02,2.231464965324877703e+00,1.638805866241455078e-01,2.286424477189191506e+00
1.100000000000000000e+01,1.153725612521151328e-01,2.571769455722996423e+00,2.872178554534912109e-01,2.761052158610273199e+00
1.200000000000000000e+01,1.907577995804898841e-01,3.021123672461540011e+00,1.631647199392318726e-01,2.950572960649412213e+00
1.300000000000000000e+01,1.818926242708292229e-01,2.905636035606015355e+00,3.693248629570007324e-01,3.064045615405948997e+00
1.400000000000000000e+01,5.288955766983608475e-01,3.094026860083413766e+00,1.427224129438400269e-01,2.731441401478212683e+00
1.500000000000000000e+01,2.052871827739196631e-01,2.586393271284824102e+00,2.040916383266448975e-01,2.606193377511246911e+00
