0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,8.722827360150776921e-02,4.609104227427800460e-01,8.848249766506723069e-02,4.475307444378601174e-01
2.000000000000000000e+00,7.010866188940356736e-02,5.261209877373610455e-01,6.449573856051567244e-02,5.194777349571709779e-01
3.000000000000000000e+00,6.187362176049804319e-02,5.573227896959566108e-01,7.486140176250137557e-02,5.953278710911641403e-01
4.000000000000000000e+00,6.107132959149061402e-02,6.454006394134889080e-01,8.840924678884506949e-02,6.837076760297399192e-01
5.000000000000000000e+00,7.576937643414644041e-02,7.204080277559523626e-01,9.011139134359509584e-02,7.200473619735691111e-01
6.000000000000000000e+00,7.933389026743145611e-02,7.973550337875029426e-01,8.253218013859796309e-02,7.996681485166377001e-01
7.000000000000000000e+00,5.257674610198019571e-02,8.430895849077693072e-01,1.159980763211893307e-01,9.015633933723905535e-01
8.000000000000000000e+00,7.144743823030698382e-02,9.313080483904128126e-01,1.070625700878450048e-01,9.400581632664043452e-01
9.000000000000000000e+00,9.499469539761239145e-02,1.001834092307383850e+00,6.630742804307998561e-02,9.954614793584413146e-01
1.000000000000000000e+01,8.032994292634779154e-02,1.070026427499508159e+00,1.120715534971851168e-01,1.116375878590489812e+00
1.100000000000000000e+01,5.002856044631764920e-02,1.104228107379575441e+00,8.115314291717973250e-02,1.132043435713919521e+00
1.200000000000000000e+01,1.054333777253107646e-01,1.241498339146094088e+00,1.086033721796629825e-01,1.231550937195478257e+00
1.300000000000000000e+01,1.380218223852389958e-01,1.321914180699184316e+00,8.879806519905404649e-02,1.286328100523153939e+00
1.400000000000000000e+01,1.124673509624298795e-01,1.366374192004579990e+00,1.327346896767889195e-01,1.402112959454302921e+00
1.500000000000000000e+01,1.202746186563736219e-01,1.443752585669332511e+00,1.287514216119798882e-01,1.455910464413862071e+00
